review_score,delivery_late,total_price
1,0,40.95
5,0,241.5
4,0,80.32
5,0,71.81
5,1,50.13
5,0,279.57
5,0,68.49
4,0,2115.05
4,0,133.46
3,0,547.47
5,0,35.0
5,0,87.16
5,0,27.68
5,0,76.29
4,0,34.22
5,0,40.79
4,1,35.45
5,0,55.0
4,0,64.1
5,0,55.09
4,0,161.71
4,1,49.64
5,0,73.34
5,0,103.69
5,0,76.39
4,0,76.63
4,0,479.7
5,0,190.03
3,0,131.94
5,0,115.59
5,0,55.12
5,0,348.66
5,0,120.11
4,0,79.56
5,0,686.02
5,0,1225.65
5,0,97.38
5,0,190.09
5,0,79.68
3,0,56.78
4,0,65.92
1,1,344.89
5,0,278.69
1,0,87.54
5,0,426.27
5,0,298.32
3,0,238.63
5,0,112.95
5,0,52.57
1,0,53.16
5,0,132.49
5,0,102.74
1,1,348.14
1,1,169.86
5,0,77.89
4,0,27.76
5,0,35.2
5,0,82.98
5,0,275.48
5,0,43.75
5,0,515.44
5,0,34.09
4,0,207.5
5,0,385.67
3,0,42.69
5,0,154.4
5,0,89.03
5,0,75.62
5,0,105.83
5,0,119.68
5,0,149.08
4,0,201.82
5,0,106.07
1,0,55.38
3,0,87.16
4,0,507.76
5,0,43.29
1,1,162.85
4,0,162.83
5,0,60.46
4,0,63.05
5,0,130.88
4,0,71.56
5,0,33.73
5,0,46.85
5,0,1404.41
5,0,97.9
4,0,85.36
5,0,132.08
5,0,68.0
5,0,109.84
5,0,37.61
5,0,75.16
4,0,63.68
1,1,123.01
5,0,88.37
5,0,41.59
4,0,99.65
5,0,137.99
4,0,152.96
1,0,57.62
4,0,208.55
5,0,51.69
5,0,20.28
1,0,80.22
3,0,34.0
2,0,215.01
3,0,110.1
5,0,93.79
1,0,49.09
4,0,99.32
1,0,72.8
5,0,111.32
3,0,68.02
3,0,130.58
5,0,28.59
5,0,21.1
1,0,98.94
5,0,31.11
4,0,38.72
5,0,211.6
5,0,23.69
5,0,235.92
5,0,46.54
3,0,136.99
3,0,278.7
4,0,40.27
5,0,70.14
5,0,276.59
2,0,179.19
4,0,26.77
5,0,105.17
5,0,68.62
5,0,356.12
2,0,77.6
1,1,190.62
5,0,135.6
5,0,194.04
5,1,42.4
5,0,298.77
5,0,73.96
5,0,135.59
1,0,160.22
3,0,37.09
4,1,69.45
5,0,165.0
4,0,55.98
5,0,50.87
5,0,173.84
5,0,250.88
5,0,204.4
5,0,66.2
2,0,259.59
2,0,51.13
5,0,36.75
4,1,21.49
1,0,154.42
5,0,152.12
2,0,75.78
4,0,101.22
5,0,72.57
5,0,66.01
5,0,43.52
5,0,35.78
4,0,43.6
3,0,27.6
4,0,126.9
3,0,71.63
5,0,98.56
5,0,86.02
4,0,456.77
5,0,162.48
5,0,66.01
5,0,64.55
4,0,94.74
5,0,55.0
5,1,112.76
5,0,107.36
1,0,218.7
5,0,103.43
5,0,118.03
5,0,44.1
5,0,99.47
1,0,157.3
5,0,155.73
5,0,116.16
4,0,66.01
5,0,132.16
1,0,172.73
5,0,50.0
5,0,50.34
4,0,33.51
3,0,132.42
4,0,367.54
5,0,420.06
5,0,258.81
4,0,195.0
5,0,128.54
5,0,41.72
4,0,367.56
4,0,2024.31
4,0,286.6
4,0,726.06
5,0,62.65
4,0,115.46
4,0,140.05
5,0,83.41
5,0,169.15
5,0,114.86
2,0,556.24
5,0,37.85
5,0,82.7
5,0,476.25
5,0,156.39
5,0,68.15
5,0,53.7
5,0,32.38
5,0,152.78
5,0,423.63
1,1,78.37
5,0,44.1
5,0,152.38
1,0,61.18
5,0,182.91
5,0,264.24
5,0,145.66
5,0,45.76
5,0,43.86
5,0,22.38
3,0,164.18
1,1,19.39
5,0,102.12
5,0,115.6
5,0,63.15
5,0,106.9
